City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Namibe,AO,-15.1961,12.1522,69.73,81,96,4.5,overcast clouds
214,Leningradskiy,RU,69.3833,178.4167,-23.19,97,100,9.26,overcast clouds
215,Ambon,ID,-3.6954,128.1814,89.74,58,20,16.11,few clouds
216,Anadyr,RU,64.75,177.4833,-12.5,75,75,11.18,light snow
217,Penzance,GB,50.1186,-5.5371,36.28,77,40,8.43,scattered clouds
218,Kingman,US,35.1894,-114.053,51.26,35,0,18.41,clear sky
219,Kruisfontein,ZA,-34.0033,24.7314,69.89,95,19,9.71,few clouds
220,Osmanabad,IN,18.1667,76.05,72.23,32,58,11.27,broken clouds
221,Misawa,JP,40.6836,141.3597,36.97,74,40,6.11,scattered clouds
222,Souillac,MU,-20.5167,57.5167,79.18,89,40,9.22,scattered clouds
223,Semey,KZ,50.4111,80.2275,17.82,86,40,4.47,scattered clouds
224,Sola,VU,-13.8833,167.55,86.67,70,75,2.3,light rain
225,Tabou,CI,4.423,-7.3528,77.95,86,93,5.55,overcast clouds
226,Westport,US,41.1415,-73.3579,37.56,64,0,13.8,clear sky
227,Narsaq,GL,60.9167,-46.05,-0.18,64,23,8.41,few clouds
228,Skowhegan,US,44.7651,-69.7192,23.45,62,100,8.14,overcast clouds
229,Harper,LR,4.375,-7.7169,78.42,85,86,6.24,overcast clouds
230,Kilrush,IE,52.6397,-9.4833,46.15,91,100,8.57,overcast clouds
231,Yar-Sale,RU,66.8333,70.8333,-9.24,100,90,6.42,overcast clouds
232,Anloga,GH,5.7947,0.8973,80.13,84,89,13.73,overcast clouds
233,Zhengjiatun,CN,43.5064,123.5064,20.73,39,82,4.94,broken clouds
234,Zeya,RU,53.75,127.2667,-8.03,63,10,4.36,clear sky
235,Ponta Do Sol,PT,32.6667,-17.1,59.63,64,33,8.03,scattered clouds
236,Wewak,PG,-3.5534,143.6268,83.91,75,100,9.06,overcast clouds
237,Bandon,IE,51.7469,-8.7425,44.19,93,100,5.39,overcast clouds
238,Broome,US,42.2506,-75.833,28.71,82,100,8.05,overcast clouds
239,Liverpool,GB,53.4106,-2.9779,38.82,89,0,8.05,clear sky
240,Ichinohe,JP,40.2069,141.3017,40.01,57,34,5.3,scattered clouds
241,Huarmey,PE,-10.0681,-78.1522,72.21,83,47,6.02,scattered clouds
242,Buala,SB,-8.145,159.5921,84.7,71,98,10.54,light rain
243,Freeport,US,40.6576,-73.5832,39.16,69,0,18.41,clear sky
244,Oktyabrskoye,RU,43.0645,44.7417,19.54,100,100,6.71,overcast clouds
245,Tiassale,CI,5.8983,-4.8283,76.93,88,99,3.18,overcast clouds
246,Samana,DO,19.2056,-69.3369,73.22,88,9,6.71,clear sky
247,Pasighat,IN,28.0667,95.3333,65.25,61,100,0.2,overcast clouds
248,Gravdal,NO,68.1214,13.5031,44.26,87,100,45.99,light rain
249,Hasaki,JP,35.7333,140.8333,59.4,54,73,7.11,broken clouds
250,Talara,PE,-4.5772,-81.2719,77.76,65,0,10.36,clear sky
251,Benghazi,LY,32.1167,20.0667,54.48,56,91,18.1,overcast clouds
252,Isla Vista,US,34.4133,-119.861,57.09,52,0,8.05,clear sky
253,Alta Floresta,BR,-9.8756,-56.0861,70.84,97,90,0.78,overcast clouds
254,Tautira,PF,-17.7333,-149.15,80.06,75,30,12.1,scattered clouds
255,Siruguppa,IN,15.6333,76.9,75.36,51,60,5.73,broken clouds
256,Mezen,RU,65.8522,44.24,3.16,98,99,8.88,overcast clouds
